    E       Coeff1      Coeff2
-2.7306878290073504    0.98   3.32   
-2.729354062438151    0.98   3.33   
-2.7280205196522114    0.98   3.34   
-2.7266872859822673    0.98   3.35   
-2.7253544455386933    0.98   3.36   
-2.7240220812156237    0.98   3.37   
-2.722690274697183    0.98   3.38   
-2.721359106463877    0.98   3.39   
-2.7200286557990454    0.98   3.4   
-2.8402042224282353    0.99   2.4   
-2.839429896926556    0.99   2.41   
-2.838642758748888    0.99   2.42   
-2.837843002860368    0.99   2.43   
-2.837030823182147    0.99   2.44   
-2.836206412582633    0.99   2.45   
-2.835369962868886    0.99   2.46   
-2.8345216647781575    0.99   2.47   
-2.833661707969604    0.99   2.48   
-2.8327902810161154    0.99   2.49   
-2.831907571396332    0.99   2.5   
-2.8310137654867944    0.99   2.51   
-2.8301090485542466    0.99   2.52   
-2.8291936047481063    0.99   2.53   
-2.8282676170930707    0.99   2.54   
-2.827331267481885    0.99   2.55   
-2.8263847366682704    0.99   2.56   
-2.825428204259996    0.99   2.57   
-2.82446184871212    0.99   2.58   
-2.823485847320374    0.99   2.59   
-2.822500376214714    0.99   2.6   
-2.8215056103530336    0.99   2.61   
-2.820501723515011    0.99   2.62   
-2.8194888882961604    0.99   2.63   
-2.8184672761019973    0.99   2.64   
-2.8174370571423895    0.99   2.65   
-2.816398400426081    0.99   2.66   
-2.8153514737553467    0.99   2.67   
-2.8142964437208384    0.99   2.68   
-2.813233475696585    0.99   2.69   
-2.812162733835163    0.99   2.7   
-2.811084381063021    0.99   2.71   
-2.8099985790759914    0.99   2.72   
-2.8089054883349465    0.99   2.73   
-2.807805268061649    0.99   2.74   
-2.8066980762347464    0.99   2.75   
-2.8055840695859566    0.99   2.76   
-2.8044634035964098    0.99   2.77   
-2.803336232493162    0.99   2.78   
-2.802202709245901    0.99   2.79   
-2.801062985563788    0.99   2.8   
-2.7999172118925064    0.99   2.81   
-2.79876553741147    0.99   2.82   
-2.797608110031192    0.99   2.83   
-2.7964450763908584    0.99   2.84   
-2.7952765818560446    0.99   2.85   
-2.7941027705166275    0.99   2.86   
-2.792923785184862    0.99   2.87   
-2.791739767393634    0.99   2.88   
-2.790550857394894    0.99   2.89   
-2.7893571941582587    0.99   2.9   
-2.788158915369788    0.99   2.91   
-2.7869561574309496    0.99   2.92   
-2.7857490554577313    0.99   2.93   
-2.784537743279966    0.99   2.94   
-2.7833223526398276    0.99   2.95   
-2.782103016439761    0.99   2.96   
-2.780879863801365    0.99   2.97   
-2.7796530234063734    0.99   2.98   
-2.778422622649486    0.99   2.99   
-2.7771887876387145    0.99   3.0   
-2.775951643195903    0.99   3.01   
-2.7747113128574066    0.99   3.02   
-2.7734679188749713    0.99   3.03   
-2.772221582216734    0.99   3.04   
-2.770972422568441    0.99   3.05   
-2.769720558334809    0.99   3.06   
-2.768466106641056    0.99   3.07   
-2.7672091833345958    0.99   3.08   
-2.765949902986912    0.99   3.09   
-2.7646883788955754    0.99   3.1   
-2.763424723086443    0.99   3.11   
-2.762159046316005    0.99   3.12   
-2.760891458073901    0.99   3.13   
-2.7596220665855977    0.99   3.14   
-2.7583509788152014    0.99   3.15   
-2.7570783004684576    0.99   3.16   
-2.7558041359958896    0.99   3.17   
-2.7545285885960924    0.99   3.18   
-2.75325176021917    0.99   3.19   
-2.7519737515703437    0.99   3.2   
-2.750694662113684    0.99   3.21   
-2.749414590076014    0.99   3.22   
-2.748133632450925    0.99   3.23   
-2.7468518850029744    0.99   3.24   
-2.7455694422719987    0.99   3.25   
-2.7442863975775635    0.99   3.26   
-2.7430028430235702    0.99   3.27   
-2.7417188695029844    0.99   3.28   
-2.7404345667026955    0.99   3.29   
-2.739150023108524    0.99   3.3   
-2.737865326010333    0.99   3.31   
-2.7365805615072873    0.99   3.32   
-2.7352958145132313    0.99   3.33   
-2.7340111687621884    0.99   3.34   
-2.7327267068139793    0.99   3.35   
-2.7314425100599613    0.99   3.36   
-2.7301586587288895    0.99   3.37   
-2.7288752318928653    0.99   3.38   
-2.727592307473445    0.99   3.39   
-2.726309961683041    0.99   3.4   
-2.841556787621014    1.0   2.4   
-2.8408221153242614    1.0   2.41   
-2.840074992914905    1.0   2.42   
-2.8393156079330666    1.0   2.43   
-2.8385441469137263    1.0   2.44   
-2.8377607953784647    1.0   2.45   
-2.8369657378273665    1.0   2.46   
-2.8361591577310508    1.0   2.47   
-2.8353412375228633    1.0   2.48   
-2.8345121585911954    1.0   2.49   
-2.8336721012719694    1.0   2.5   
-2.8328212448412446    1.0   2.51   
-2.8319597675079917    1.0   2.52   
-2.8310878464069957    1.0   2.53   
-2.830205657591927    1.0   2.54   
-2.8293133760285243    1.0   2.55   
-2.828411175587967    1.0   2.56   
-2.8274992290403644    1.0   2.57   
-2.826577708048404    1.0   2.58   
-2.8256467831611634    1.0   2.59   
-2.8247066238080403    1.0   2.6   
-2.823757398292867    1.0   2.61   
-2.822799273788158    1.0   2.62   
-2.8218324163295154    1.0   2.63   
-2.8208569908101757    1.0   2.64   
-2.819873160975745    1.0   2.65   
-2.8188810894190395    1.0   2.66   
-2.8178809375751266    1.0   2.67   
-2.8168728657164945    1.0   2.68   
-2.8158570329483896    1.0   2.69   
-2.8148335972043137    1.0   2.7   
-2.8138027152416654    1.0   2.71   
-2.8127645426375665    1.0   2.72   
-2.8117192337848227    1.0   2.73   
-2.810666941888056    1.0   2.74   
-2.8096078189600067    1.0   2.75   
-2.808542015817978    1.0   2.76   
-2.8074696820804594    1.0   2.77   
-2.806390966163905    1.0   2.78   
-2.8053060152796756    1.0   2.79   
-2.8042149754311576    1.0   2.8   
-2.803117991411018    1.0   2.81   
-2.8020152067986555    1.0   2.82   
-2.800906763957791    1.0   2.83   
-2.7997928040342472    1.0   2.84   
-2.7986734669538706    1.0   2.85   
-2.797548891420638    1.0   2.86   
-2.796419214914916    1.0   2.87   
-2.7952845736918905    1.0   2.88   
-2.794145102780167    1.0   2.89   
-2.7930009359805377    1.0   2.9   
-2.7918522050410624    1.0   2.91   
-2.7906990429950556    1.0   2.92   
-2.7895415790849687    1.0   2.93   
-2.7883799421912814    1.0   2.94   
-2.787214259962961    1.0   2.95   
-2.7860446588172136    1.0   2.96   
-2.7848712639394027    1.0   2.97   
-2.783694199283142    1.0   2.98   
-2.7825135875705285    1.0   2.99   
-2.7813295502925737    1.0   3.0   
-2.780142207709752    1.0   3.01   
-2.7789516788527617    1.0   3.02   
-2.7777580815234    1.0   3.03   
-2.776561532295633    1.0   3.04   
-2.775362146516804    1.0   3.05   
-2.7741600383090153    1.0   3.06   
-2.7729553205706567    1.0   3.07   
-2.7717481049780917    1.0   3.08   
-2.770538501987509    1.0   3.09   
-2.7693266208369165    1.0   3.1   
-2.7681125695483004    1.0   3.11   
-2.76689645492992    1.0   3.12   
-2.7656783825787787    1.0   3.13   
-2.7644584568832182    1.0   3.14   
-2.7632367810256744    1.0   3.15   
-2.762013456985587    1.0   3.16   
-2.7607885855424388    1.0   3.17   
-2.7595622662789467    1.0   3.18   
-2.7583345975844    1.0   3.19   
-2.7571056766581337    1.0   3.2   
-2.75587559951314    1.0   3.21   
-2.7546444609798235    1.0   3.22   
-2.7534123547098885    1.0   3.23   
-2.7521793731803585    1.0   3.24   
-2.7509456076977323    1.0   3.25   
-2.7497111484022723    1.0   3.26   
-2.7484760842724145    1.0   3.27   
-2.7472405031293126    1.0   3.28   
-2.7460044916415005    1.0   3.29   
-2.744768135329689    1.0   3.3   
-2.743531518571665    1.0   3.31   
-2.7422947246073335    1.0   3.32   
-2.7410578355438533    1.0   3.33   
-2.739820932360905    1.0   3.34   
-2.7385840949160607    1.0   3.35   
-2.7373474019502733    1.0   3.36   
-2.7361109310934673    1.0   3.37   
-2.734874758317555    1.0   3.38   
-2.733638960192022    1.0   3.39   
-2.7324036104540323    1.0   3.4   
-2.8428537175849913    1.01   2.4   
-2.842157468607206    1.01   2.41   
-2.841449124904879    1.01   2.42   
-2.8407288668057236    1.01   2.43   
-2.8399968736705974    1.01   2.44   
-2.8392533238857247    1.01   2.45   
-2.838498394855053    1.01   2.46   
-2.837732262992764    1.01   2.47   
-2.8369551037158978    1.01   2.48   
-2.836167091437141    1.01   2.49   
-2.835368399557736    1.01   2.5   
-2.8345592004605313    1.01   2.51   
-2.8337396655031744    1.01   2.52   
-2.83290996501145    1.01   2.53   
-2.8320702682727377    1.01   2.54   
-2.831220743529637    1.01   2.55   
-2.8303615579737125    1.01   2.56   
-2.8294928777393817    1.01   2.57   
-2.8286148678979646    1.01   2.58   
-2.8277276924518553    1.01   2.59   
-2.826831514328839    1.01   2.6   
-2.8259264953765655    1.01   2.61   
-2.8250127963571563    1.01   2.62   
-2.824090576941963    1.01   2.63   
-2.8231599957064692    1.01   2.64   
-2.822221210125339    1.01   2.65   
-2.8212743765676183    1.01   2.66   
-2.8203196502920704    1.01   2.67   
-2.8193571854426884    1.01   2.68   
-2.818387135044323    1.01   2.69   
-2.8174096509984885    1.01   2.7   
-2.8164248840792983    1.01   2.71   
-2.815432983929579    1.01   2.72   
-2.8144340990571024    1.01   2.73   
-2.813428376831009    1.01   2.74   
-2.8124159634783457    1.01   2.75   
-2.811397004080788    1.01   2.76   
-2.8103716425715053    1.01   2.77   
-2.809340021732178    1.01   2.78   
-2.808302283190176    1.01   2.79   
-2.807258567415894    1.01   2.8   
-2.8062090137202294    1.01   2.81   
-2.8051537602522445    1.01   2.82   
-2.8040929439969458    1.01   2.83   
-2.803026700773266    1.01   2.84   
-2.8019551652321635    1.01   2.85   
-2.800878470854904    1.01   2.86   
-2.799796749110984    1.01   2.87   
-2.7987101328610007    1.01   2.88   
-2.7976187511840465    1.01   2.89   
-2.7965227328685045    1.01   2.9   
-2.795422205526789    1.01   2.91   
-2.7943172955945856    1.01   2.92   
-2.793208128330191    1.01   2.93   
-2.792094827814082    1.01   2.94   
-2.790977516948577    1.01   2.95   
-2.789856317457686    1.01   2.96   
-2.7887313498871205    1.01   2.97   
-2.7876027336044373    1.01   2.98   
-2.7864705867993527    1.01   2.99   
-2.785335026484207    1.01   3.0   
-2.7841961684945735    1.01   3.01   
-2.783054127490051    1.01   3.02   
-2.7819090169551566    1.01   3.03   
-2.78076094920042    1.01   3.04   
-2.7796100353636075    1.01   3.05   
-2.778456385411084    1.01   3.06   
-2.7773001081393454    1.01   3.07   
-2.7761413111766893    1.01   3.08   
-2.774980100985031    1.01   3.09   
-2.773816582861864    1.01   3.1   
-2.772650860942373    1.01   3.11   
-2.7714830382016835    1.01   3.12   
-2.770313216457254    1.01   3.13   
-2.769141496371411    1.01   3.14   
-2.7679679774540253    1.01   3.15   
-2.766792758065324    1.01   3.16   
-2.7656159354188414    1.01   3.17   
-2.7644376055845044    1.01   3.18   
-2.7632578634918423    1.01   3.19   
-2.762076802933355    1.01   3.2   
-2.760894516567985    1.01   3.21   
-2.75971109592473    1.01   3.22   
-2.7585266314063897    1.01   3.23   
-2.757341212293423    1.01   3.24   
-2.7561549267479455    1.01   3.25   
-2.7549678618178373    1.01   3.26   
-2.7537801034409837    1.01   3.27   
-2.7525917364496175    1.01   3.28   
-2.751402844574803    1.01   3.29   
-2.750213510451013    1.01   3.3   
-2.7490238156208266    1.01   3.31   
-2.747833840539747    1.01   3.32   
-2.746643664581115    1.01   3.33   
-2.7454533660411475    1.01   3.34   
-2.7442630221440534    1.01   3.35   
-2.7430727085073583    1.01   3.36   
-2.741882501344514    1.01   3.37   
-2.7406924741156624    1.01   3.38   
-2.7395026998105485    1.01   3.39   
-2.7383132503740892    1.01   3.4   
-2.8440962352474664    1.02   2.4   
-2.8434372050273335    1.02   2.41   
-2.842766428425234    1.02   2.42   
-2.8420840787637918    1.02   2.43   
-2.8413903284364768    1.02   2.44   
-2.840685348900281    1.02   2.45   
-2.839969310668516    1.02   2.46   
-2.839242383303734    1.02   2.47   
-2.8385047354108064    1.02   2.48   
-2.837756534630106    1.02   2.49   
-2.8369979476308327    1.02   2.5   
-2.8362291401044746    1.02   2.51   
-2.8354502767583996    1.02   2.52   
-2.8346615213095707    1.02   2.53   
-2.833863036478413    1.02   2.54   
-2.8330549839827963    1.02   2.55   
-2.83223752453216    1.02   2.56   
-2.831410817821782    1.02   2.57   
-2.830575022527158    1.02   2.58   
-2.8297302962985498    1.02   2.59   
-2.8288767957556393    1.02   2.6   
-2.8280146764823524    1.02   2.61   
-2.827144093021781    1.02   2.62   
-2.8262651988712815    1.02   2.63   
-2.8253781464776933    1.02   2.64   
-2.8244830872327014    1.02   2.65   
-2.8235801714683393    1.02   2.66   
-2.822669548452632    1.02   2.67   
-2.8217513663853926    1.02   2.68   
-2.8208257723941403    1.02   2.69   
-2.819892912530182    1.02   2.7   
-2.8189529317648256    1.02   2.71   
-2.8180059739857413    1.02   2.72   
-2.817052181993478    1.02   2.73   
-2.8160916974981034    1.02   2.74   
-2.815124661116013    1.02   2.75   
-2.8141512123668706    1.02   2.76   
-2.8131714896707036    1.02   2.77   
-2.812185630345146    1.02   2.78   
-2.811193770602811    1.02   2.79   
-2.8101960455488557    1.02   2.8   
-2.8091925891786422    1.02   2.81   
-2.8081835343755808    1.02   2.82   
